filename,title,keywords,summary,creation_date,edit_time
01022021030507-peripheral-nervous-system.md,Peripheral Nervous System,#zettel #pns #nervous #system #brain #archive,Notes on the peripheral nervous system,2021-01-01T00:00:00.0,2022-12-29T07:14:30.558
01022021030923-retinotopically-alpha-band.md,Anticipatory Biasing of Visuospatial Attention Indexed by Retinotopically Specific α-Bank Electroencephalography Increases over Occipital Cortex,##bibliography #attention #erp #archive,Quick review of this paper to understand how covert attention works and how the study was used to assess this,2021-01-01T00:00:00.0,2022-12-29T07:09:37.977
01022021031334-all-payer-claims.md,All-Payer Claims Database,##zettel #apcd #claims #database  #archive,An overview on what all payer claims databases are,2021-01-01T00:00:00.0,2022-12-29T07:14:59.979
01022021034134-automated-contact-tracing.md,Automated And Partly Automated Contact Tracing: A Systematic Review To Inform The Control Of COVID-19,##bibliography #contact #tracing #review #automated #ethics #archive,,2021-01-01T00:00:00.0,2022-12-29T07:15:11.634
01042021224715-sums-series.md,Mathematical Sums and Series,##summary #mathematics #sums #series #arithmetic #geometric #sequence #archive,Mathematical sums and series which are commonly used to assess complexity and create relationships,2021-01-04T00:00:00.0,2022-12-29T07:15:15.413
01052021044121-arithmetic-series.md,Arithmetic Sums & Series,##zettel #arithmetic #sums #series #proof  #archive,A brief overview on what arithmetic series are and some of its underlying math.,2021-01-04T00:00:00.0,2022-12-29T07:15:19.62
01062021042121-anticipatory-biasing.md,Anticipatory Biasing of Visuospatial Attention Indexed by Retinotopically Specific α-Bank Electroencephalography Increases over Occipital Cortex,##bibliography #archive,How EEGs were used to measure brain activity in this study,2021-01-06T00:00:00.0,2022-12-29T07:15:25.045
01072021054854-independent-component-analysis.md,Independent Component Analysis,##zettel #mathematics #analysis #independent #component #analysis #speech #fmri #noise #separation #archive,What independent component analysis is,2021-01-07T00:00:00.0,2022-12-29T07:15:31.215
01072021061204-nursing-home-staff.md,Nursing Home Staff Networks and COVID-19,##zettel #pandemic #covid #nursing #homes #archive,,2021-01-07T00:00:00.0,2022-12-29T07:15:37.049
01072021062203-divide-conquer.md,Divide and Conquer Algorithmic Design,##zettel #computer #science #algorithm #design #divide #conquer #archive,The divide and conquer design paradigm to break down a problem to smaller parts and rebuild it to a solution,2021-01-07T00:00:00.0,2022-12-29T07:15:42.915
01072021062915-mobility-patterns-gtri.md,"Timing of State and Territorial COVID-19 Stay-at-Home Orders and Changes in Population Movement — United States, March 1–May 31, 2020",##bibliography #covid #population #dynamics #gtri #cdc #mmwr #dataset #agriculture #rural #urban #archive,How population mobility was affected by US mandates for stay-at-home orders,2021-01-07T00:00:00.0,2022-12-29T07:16:06.562
01072021071650-loop-invariants.md,Loop Invariants,##zettel #computer #science  #archive,Statements used to show the correctness of an algorithm,2021-01-07T00:00:00.0,2022-12-29T07:16:11.215
01072021072305-algorithms.md,Algorithms,##summary #algorithms #computer science #archive,,2021-01-07T00:00:00.0,2022-12-29T07:16:15.445
01072021072613-random-access-model.md,Random Access Machine (RAM) Model,##zettel #random #access #machine #model #archive,Modeling computational actions as single step actions,2021-01-07T00:00:00.0,2022-12-29T07:16:22.906
01072021074632-computable-phenotypes.md,What Are Computable Phenotypes?,##zettel #ehr #electronic #health #records #computable #phenotypes #codes #icd-9 #icd-10 #snomed-ct #archive,An overview into what computable phenotypes are and how they are used.,2021-01-07T00:00:00.0,2022-12-29T07:16:41.849
01072021082043-book-of-why.md,The Book of Why,##bibliography #causality #diagrams #counterfactual #statistics #graphs ##book ##blog #archive,How causality gives us tools to understand the question of cause-and-effect and confounders,2021-01-07T00:00:00.0,2022-12-29T07:16:46.15
01072023205813-memory-chunks.md,How Big Is a Chunk?,#chunk #memory #bit #unit ##bibliography #archive,An interesting foundation for the notion of 'chunking' in memory and education research,2023-01-07T00:00:00.0,2023-01-08T18:50:52.832
01082021031034-electronic-health-records.md,Electronic Health Records,##zettel #ehr #healthcare #archive,An overview of Electronic Health Records,2021-01-07T00:00:00.0,2022-12-29T07:17:01.839
01112021180936-we-may-think.md,As We May Think,##bibliography #memex #thinking #knowledge #management #archive,An overview on Vannevar Bush's concept of a memex and additional thoughts on the issue of information overload,2021-01-11T00:00:00.0,2022-12-29T07:18:10.5
01112022214236-tracking-physiomes.md,Digital Health: Tracking Physiomes and Activity Using Wearable Biosensors Reveals Useful Health-Related Information,#mhealth #spo2 #heart #rate #skin #temperature #lyme #disease ##bibliography #archive,Utilizing wearables to detect and find abnormalities in patient conditions,2022-01-11T00:00:00.0,2022-12-29T07:18:28.924
01112022215755-oxygen-saturation.md,Peripheral Capillary Oxygen Saturation (SpO2),##summary ##healthcare #informatics #health #signal #biomarker #archive,A summary of what Peripheral Capillary Oxygen Saturation (SpO2) is and its use as a biomarker and use in signal processing.,2022-01-11T00:00:00.0,2022-12-29T07:18:33.076
01112022220843-spo2-explained.md,What Is Peripheral Capillary Oxygen Saturation (SpO2)?,#biomarker #biology #physiology #health #blood #signal #archive,What Peripheral Capillary Oxygen Saturation (SpO2) is and the pros and cons associated with its use,2022-01-11T00:00:00.0,2022-12-29T07:18:44.517
01132021041501-gold-diggers.md,"‘The Data Is Gold, And We Are The gold-diggers': Whiteness, Race And Contemporary Academic Research In Eastern DRC",##bibliography #race #whiteness #africa #data #gold  #archive,How data mining in African countries is a type of neocolonialism,2021-01-12T00:00:00.0,2022-12-29T07:18:51.44
01132021044141-universal-health-proposal.md,Making Fair Choices on the Path to Universal Health Coverage,##bibliography #universal #health #coverage #archive,,2021-01-12T00:00:00.0,2022-12-29T07:19:02.927
01202021041928-what-is-race.md,What Is Race,##zettel #race #archive,Overviews on what race is as a concept,2021-01-19T00:00:00.0,2022-12-29T07:19:26.696
01202021043013-census-groups.md,Census Groups,##zettel #census #usa #block #groups #cbgs #archive,Overview on what US Census block groups are,2021-01-19T00:00:00.0,2022-12-29T07:19:48.189
01202021043643-mobility-network-models.md,Mobility Network Models of COVID-19 Explain Inequities and Inform Reopening,##bibliography #places #interest #policy #bipartite #graphs #counterfactual #mobility #models  #archive,How estimations of mobility patterns were used to estimate infections and identify disparities in Census Block Groups,2021-01-19T00:00:00.0,2022-12-29T07:23:56.259
01282022220116-resource-description-framework.md,The Resource Description Framework (RDF) Explained,##outline #rdf #resource #description #framework #metadata #semantic #web #archive,An explanation on what the Resource Description Framework is,2022-01-28T00:00:00.0,2022-12-29T07:24:21.915
